Цикловая структура	Число реш. ур. Коши	Порядок	Декремент	Четность	Число мобильных элементов
{21,1}{6,1}{2,6}{1,1}	5806080	42	31	-1	39
{12,1}{7,1}{6,3}{3,1}	326592	84	34	1	40
{20,1}{8,1}{5,1}{4,1}{1,3}	19200	40	33	-1	37
{20,1}{8,1}{5,1}{4,1}{1,3}	19200	40	33	-1	37
{21,1}{6,1}{2,6}{1,1}	5806080	42	31	-1	39
{21,1}{6,1}{2,6}{1,1}	5806080	42	31	-1	39
{21,1}{6,1}{2,6}{1,1}	5806080	42	31	-1	39
{33,1}{7,1}	231	231	38	1	40
{12,1}{10,1}{8,1}{3,2}{2,2}	138240	120	33	-1	40
{20,1}{8,1}{5,1}{4,1}{1,3}	19200	40	33	-1	37
{21,1}{6,1}{2,6}{1,1}	5806080	42	31	-1	39
{12,1}{7,1}{6,3}{3,1}	326592	84	34	1	40
{33,1}{7,1}	231	231	38	1	40
{12,1}{7,1}{6,3}{3,1}	326592	84	34	1	40
{12,1}{10,1}{8,1}{3,2}{2,2}	138240	120	33	-1	40
{20,1}{8,1}{5,1}{4,1}{1,3}	19200	40	33	-1	37
{12,1}{10,1}{8,1}{3,2}{2,2}	138240	120	33	-1	40
{33,1}{7,1}	231	231	38	1	40
{33,1}{7,1}	231	231	38	1	40
{20,1}{8,1}{5,1}{4,1}{1,3}	19200	40	33	-1	37
{20,1}{8,1}{5,1}{4,1}{1,3}	19200	40	33	-1	37
{33,1}{7,1}	231	231	38	1	40
{12,1}{10,1}{8,1}{3,2}{2,2}	138240	120	33	-1	40
{12,1}{7,1}{6,3}{3,1}	326592	84	34	1	40
{12,1}{7,1}{6,3}{3,1}	326592	84	34	1	40
{21,1}{6,1}{2,6}{1,1}	5806080	42	31	-1	39
{12,1}{7,1}{6,3}{3,1}	326592	84	34	1	40
{12,1}{10,1}{8,1}{3,2}{2,2}	138240	120	33	-1	40
{33,1}{7,1}	231	231	38	1	40
{12,1}{10,1}{8,1}{3,2}{2,2}	138240	120	33	-1	40
